dataset_id,base_seed,lambda,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max
seed_26_lambda_0p50,26,0.5,0.2086432490332578,2.5540349139371803,0.10458657815247309,0.1040455533788867,0.014602392220331795,0.03041949164449888,0.20188016865725886
seed_26_lambda_0p75,26,0.75,0.23568228366352934,2.5067646941676927,0.0759940807983284,0.07696622896622896,0.002530100575782632,0.04847763588522685,0.35718852400602
seed_26_lambda_1p00,26,1.0,0.2886869517775541,2.4146326017666033,0.07854710874868515,0.07805318551985219,0.006048479476300402,0.08174380897557981,0.49248330051903044
seed_27_lambda_0p00,27,0.0,0.10275547569076218,1.8398372813903567,0.241571697818085,0.23681966268632937,-0.0042181730676341,-0.0054006904220766025,0.010010033170143259
seed_27_lambda_0p25,27,0.25,0.1304972316413275,2.0588378211175917,0.18093444550711169,0.17786191732858397,0.013738592294153678,0.01144441922085861,0.052266522593586585
seed_27_lambda_0p50,27,0.5,0.14911974251620144,2.2073033371997095,0.11634626678988905,0.11746691026691028,0.010627258484569,0.036880501551345875,0.16784417654957867
seed_27_lambda_0p75,27,0.75,0.14197452354869883,2.0762306032435274,0.08302697601635936,0.10000883707550375,0.01157313213362194,0.06801325058352199,0.30205363656293255
seed_27_lambda_1p00,27,1.0,0.16668161728597136,1.905197248978648,0.07579302438973393,0.10267572747572748,0.003599778418480566,0.07772861401691392,0.42797753652056975
seed_28_lambda_0p00,28,0.0,0.15943137463536114,2.207022620074111,0.18764622029990727,0.17614570947904282,-0.010784148508973749,-0.013014103272778601,0.005615777094187761
seed_28_lambda_0p25,28,0.25,0.14632025031020784,2.2985977240054365,0.1521344903307085,0.14329798596465265,-0.0012808096651923573,0.0035704702143170403,0.0655053398387925
seed_28_lambda_0p50,28,0.5,0.19950831414603326,2.316426587447057,0.11051494307796396,0.09925285685285687,0.018295945870571425,0.03830859518541901,0.2129286768016202
seed_28_lambda_0p75,28,0.75,0.22150472363321755,2.1544400811599407,0.07935383366210677,0.0754522645189312,0.028450633231137733,0.07068393560927379,0.36963959765929266
seed_28_lambda_1p00,28,1.0,0.23861521628630186,1.9683499591765004,0.0780682904104676,0.08861437421437422,0.0166555808097872,0.07453652230369243,0.4817913893271977
seed_29_lambda_0p00,29,0.0,0.20807571894205626,2.567039248630096,0.08386413683247732,0.07587273828460457,-0.010019569243197444,-0.015575977473584907,0.0007378278523166147
seed_29_lambda_0p25,29,0.25,0.24986462238254706,2.5591732210024043,0.07345677847595332,0.06868725283360909,-0.002100855076710887,-0.0019879721464151007,0.05277217486504437
seed_29_lambda_0p50,29,0.5,0.24013935985868945,2.4877213775047924,0.05981366931145414,0.05700421715176458,-0.002579975511098048,0.019875633654599576,0.18762636898083784
